Topology,Mode,Variant,Status,LogFile
S3S1,AX,TT,PASS,S3S1_AX_TT_20260211_084126.log
S3S1,AX,REE,PASS,S3S1_AX_REE_20260211_084126.log
S3S1,AX,FULL,PASS,S3S1_AX_FULL_20260211_084126.log
S3S1,VT,TT,PASS,S3S1_VT_TT_20260211_084126.log
S3S1,VT,REE,PASS,S3S1_VT_REE_20260211_084126.log
S3S1,VT,FULL,PASS,S3S1_VT_FULL_20260211_084126.log
S3S1,MX,TT,PASS,S3S1_MX_TT_20260211_084126.log
S3S1,MX,REE,PASS,S3S1_MX_REE_20260211_084126.log
S3S1,MX,FULL,PASS,S3S1_MX_FULL_20260211_084126.log
T3S1,AX,TT,PASS,T3S1_AX_TT_20260211_084126.log
T3S1,AX,REE,PASS,T3S1_AX_REE_20260211_084126.log
T3S1,AX,FULL,PASS,T3S1_AX_FULL_20260211_084126.log
T3S1,VT,TT,PASS,T3S1_VT_TT_20260211_084126.log
T3S1,VT,REE,PASS,T3S1_VT_REE_20260211_084126.log
T3S1,VT,FULL,PASS,T3S1_VT_FULL_20260211_084126.log
T3S1,MX,TT,PASS,T3S1_MX_TT_20260211_084126.log
T3S1,MX,REE,PASS,T3S1_MX_REE_20260211_084126.log
T3S1,MX,FULL,PASS,T3S1_MX_FULL_20260211_084126.log
Nil3S1,AX,TT,PASS,Nil3S1_AX_TT_20260211_084126.log
Nil3S1,AX,REE,PASS,Nil3S1_AX_REE_20260211_084126.log
Nil3S1,AX,FULL,PASS,Nil3S1_AX_FULL_20260211_084126.log
Nil3S1,VT,TT,PASS,Nil3S1_VT_TT_20260211_084126.log
Nil3S1,VT,REE,PASS,Nil3S1_VT_REE_20260211_084126.log
Nil3S1,VT,FULL,PASS,Nil3S1_VT_FULL_20260211_084126.log
Nil3S1,MX,TT,PASS,Nil3S1_MX_TT_20260211_084126.log
Nil3S1,MX,REE,PASS,Nil3S1_MX_REE_20260211_084126.log
Nil3S1,MX,FULL,PASS,Nil3S1_MX_FULL_20260211_084126.log
